Codigo DIVIPOLA,Longitud,Latitud,Ciudad de ubicación,Codigo Departamento
11001,-74.107359,4.65017303,Bogotá,11001
76001,-76.52156515,3.414414305,Cali,76001
50001,-73.62709204,4.1238615,Villavicencio,50001
13001,-75.49643103,10.38498552,Cartagena de Indias,13001
91001,-69.94142671,-4.199836935,Leticia,91001
8001,-74.79525905,10.97592682,Barranquilla,8001
8758,-74.78483338,10.91017447,Soledad,8758
5001,-74.88681663,5.610109776,Medellín,5001
47001,-74.19089412,11.2294335,Santa Marta,47001
66001,-75.71712306,4.805680265,Pereira,66001
52835,-78.76385415,1.80711725,San Andrés de Tumaco,52835
73001,-75.19371478,4.439608991,Ibagué,73001
41001,-75.27772259,2.935604415,Neiva,41001
52356,-77.64640075,0.827734241,Ipiales,52356
25754,-74.21452753,4.585491658,Soacha,25754
54001,-72.5082562,7.905306295,Cúcuta,54001
8433,-74.77424057,10.85628724,Malambo,8433
66170,-75.68246912,4.827187832,Dosquebradas,66170
5360,-75.61435871,6.169597629,Itagüí,5360
63001,-75.78683783,6.155818729,Armenia,63001
76520,-76.29858255,3.532349153,Palmira,76520
68001,-73.13259818,7.116267276,Bucaramanga,68001
19001,-76.57406468,2.482503391,Popayán,19001
17877,-75.87060986,5.062664236,Viterbo,17877
25175,-74.05034682,4.866065424,Chía,25175
17001,-75.49104898,5.057688197,Manizales,17001
76147,-75.94226404,4.758755098,Cartago,76147
17380,-74.65820562,5.444406098,La Dorada,17380
17174,-75.60748073,4.985812862,Chinchiná,17174
76892,-76.49981978,3.528968908,Yumbo,76892
85001,-72.39691516,5.327612651,Yopal,85001
5266,-75.58301014,6.167004552,Envigado,5266
5631,-75.61558529,6.150970181,Sabaneta,5631
5607,-75.50137516,6.063379954,Retiro,5607
5045,-76.62596065,7.883417406,Apartado,5045
76400,-75.3608659,5.973868218,La Unión,76400
76670,-75.0634897,9.395963637,San Pedro,76670
25875,-74.46970495,5.012790639,Villeta,25875
25286,-74.211525,4.712763015,Funza,25286
15686,-73.48122632,6.057413107,Santana,15686
5088,-75.55466507,6.334068836,Bello,5088
25430,-74.26562577,4.736129766,Madrid,25430
25817,-73.91209121,4.964786354,Tocancipá,25817
8573,-74.85196357,11.02294005,Puerto Colombia,8573
23660,-75.4459203,8.943125416,Sahagún,23660
20001,-73.25938931,10.46048122,Valledupar,20001
25873,-73.59535467,5.216438372,Villa pinzón,25873
5467,-75.52351091,5.946325567,Montebello,5467
70001,-75.39548356,9.302333104,Sincelejo,70001
17873,-75.5137606,5.043806686,Villamaría,17873
15500,-73.30840398,5.595234239,Oicata,15500
13052,-75.34448845,10.25663152,Arjona,13052
41524,-75.43371912,2.888406236,Palermo,41524
47189,-74.24128616,11.00665688,Ciénaga,47189
52001,-77.27857635,1.212124365,Pasto,52001
25214,-74.10272646,4.812987769,Cota,25214
25126,-74.02345397,4.920809059,Cajicá,25126
25899,-73.99447124,5.025471685,Zipaquirá,25899
15816,-73.51365506,5.937438225,Togüi,15816
63470,-75.75181224,4.562959743,Montenegro,63470
52227,-77.79227662,0.906185361,Cumbal,52227
19698,-76.48537029,3.016053901,Santander de Quilichao,19698
76834,-76.19769968,4.085261239,Tuluá,76834
63190,-75.63652823,4.617792043,Circasia,63190
5686,-75.46074502,6.643326001,Santa Rosa de Osos,5686
5615,-75.37676938,6.14722409,Rionegro,5615
17042,-75.78434266,5.236474391,Anserma,17042
25181,-73.92289448,4.527047921,Choachí,25181
25473,-74.23177508,4.711371201,Mosquera,25473
5318,-75.44165392,6.278064077,Guarne,5318
5129,-75.63361872,6.091296966,Caldas,5129
76250,-76.23708411,4.510452885,El Dovio,76250
8560,-74.75390044,10.64179593,Ponedera,8560
23001,-75.87557791,8.745132591,Montería,23001
23189,-75.62078664,8.875502246,Ciénaga de Oro,23189
63130,-75.64908836,4.515281846,Calarcá,63130
76109,-77.0117402,3.875802437,Buenaventura,76109
76364,-76.54245873,3.26227576,Jamundí,76364
5380,-75.64519038,6.15841974,La Estrella,5380
13836,-75.42440917,10.33276916,Turbaco,13836
15798,-73.42058911,5.077074351,Tenza,15798
15001,-73.35548873,5.539953238,Tunja,15001
76828,-76.31880894,4.212050806,Trujillo,76828
76036,-76.1679212,4.171724416,Andalucía,76036
5376,-75.42943089,6.028055744,La Ceja,5376
25662,-74.62191472,4.847575999,San Juan de Rioseco,25662
25758,-73.94577489,4.906330809,Sopo,25758
15299,-73.36442756,5.083243463,Garagoa,15299
52210,-77.54940902,0.910457863,Contadero,52210
54874,-72.47006734,7.847487432,Villa del Rosario,54874
68190,-73.95258212,6.320681867,Cimitarra,68190
68229,-73.06939052,6.605106785,Curití,68229
5321,-75.16229259,6.232592707,Guatapé,5321
25799,-74.14395621,4.871960537,Tenjo,25799
15757,-72.69196586,5.996713021,Socha,15757
25269,-74.35022793,4.813064178,Facatativá,25269
25843,-73.81434634,5.307540984,Villa de San Diego de Ubaté,25843
76111,-76.29896113,3.900823544,Guadalajara de Buga,76111
5212,-75.5093439,6.348640545,Copacabana,5212
5697,-75.26584979,6.137046858,El Santuario,5697
15759,-72.92304769,5.72568939,Sogamoso,15759
41013,-75.77190358,2.259729394,Agrado,41013
41551,-76.0487449,1.852578355,Pitalito,41551
27,-76.62596936,5.692195187,Choco,27
68276,-73.09903262,7.072360403,Floridablanca,68276
68081,-73.84995698,7.064963864,Barrancabermeja,68081
76130,-74.8799126,10.46121723,Candelaria,76130
76248,-76.31172554,3.684258941,El Cerrito,76248
19455,-76.22886987,3.253095405,Miranda,19455
25769,-74.17270846,4.929079289,Subachoque,25769
25513,-74.15611662,5.136942297,Pacho,25513
76318,-76.33136735,3.762909008,Guacarí,76318
8078,-74.91609981,10.79488048,Baranoa,8078
73268,-74.88544976,4.151314221,Espinal,73268
66682,-75.62001066,4.867526454,Santa Rosa de Cabal,66682
5034,-75.87879189,5.656774852,Andes,5034
25772,-73.79828978,5.103516839,Suesca,25772
20770,-73.51097518,7.999895459,San Martin,20770
76275,-76.23450174,3.323918106,Florida,76275
19807,-76.68423879,2.349976425,Timbio,19807
41306,-75.54121989,2.388235625,Gigante,41306
47980,-74.14008184,10.76302682,Zona Bananera,47980
66400,-75.88405843,4.898666957,La Virginia,66400
5313,-75.18444508,6.142896667,Granada,5313
50606,-73.56460418,4.260731994,Restrepo,50606
13074,-74.10522428,8.947730158,Barranco de Loba,13074
44001,-72.91148891,11.52875138,Riohacha,44001
41807,-75.932087,1.974224443,Timana,41807
41668,-76.27035968,1.881081298,San Agustín,41668
41016,-75.23903118,3.223597562,Aipe,41016
8634,-74.75850721,10.79107595,Sabanagrande,8634
25740,-74.25899225,4.489763593,Sibaté,25740
5079,-75.33164423,6.439226882,Barbosa,5079
13683,-75.36983166,10.44439608,Santa Rosa,13683
73449,-74.6298504,4.208154892,Melgar,73449
20750,-73.18121808,10.33303286,San Diego,20750
20060,-73.88876766,9.9750947,Bosconia,20060
52224,-77.72894683,0.862978103,Ipiales,52224
20621,-73.17136291,10.38748954,La Paz,20621
20614,-73.3863952,8.292287384,Rio de Oro,20614
47570,-74.28248423,10.99482965,Pueblo viejo,47570
20013,-73.23839617,10.04045799,Agustín Codazzi,20013
20011,-73.59902859,8.310336958,Aguachica,20011
76890,-76.38247445,3.861214584,Yotoco,76890
50313,-75.18444508,6.142896667,Granada,50313
54820,-75.69144241,7.010154029,Toledo,54820
73319,-74.96812715,4.031003906,Guamo,73319
19573,-76.4173078,3.233294127,Puerto Tejada,19573
68547,-73.05466085,6.997475804,Piedecuesta,68547
23417,-75.8159954,9.240855143,Lorica,23417
18001,-75.60856043,1.61792293,Florencia,18001
50683,-73.87583154,3.373727874,San Juan de Arama,50683
50006,-73.76593665,3.990120663,Acacias,50006
19142,-76.40848704,3.034070778,Caloto,19142
17662,-74.99225776,5.413086301,Samaná,17662
44650,-73.00059321,10.76957868,San Juan del Cesar,44650
8638,-75.81664609,6.85002589,Sabanalarga,8638
15223,-72.11068776,7.000092875,Cubara,15223
15407,-73.5246846,5.632661849,Villa de Leyva,15407
15238,-73.03060967,5.82298568,Duitama,15238
15646,-73.48564359,5.492314591,Samacá,15646
52317,-77.73158986,0.959743484,Guachucal,52317
41396,-75.89145131,2.389646694,La Plata,41396
47245,-73.97428121,9.008733009,El Banco,47245
20178,-73.60014444,9.361189611,Chiriguana,20178
25290,-74.36633393,4.338480851,Fusagasugá,25290
8685,-74.75411186,10.75605629,Santo Tomas,8685
19256,-76.81077225,2.45137136,El Tambo,19256
76869,-76.44196521,3.698587929,Vijes,76869
15176,-73.81838763,5.61412789,Chiquinquirá,15176
13442,-75.30075935,9.982645517,María la Baja,13442
76606,-73.56460418,4.260731994,Restrepo,76606
8520,-74.75475789,10.73858326,Palmar de Varela,8520
44430,-72.24190502,11.37832678,Maicao,44430
17444,-75.05309703,5.297524561,Marquetalia,17444
52411,-77.52193996,1.351145073,Linares,52411
8141,-74.8799126,10.46121723,Candelaria,8141
25743,-74.40552821,4.381941157,Silvania,25743
70418,-75.26874889,9.380228408,Los Palmitos,70418
8675,-74.95897145,10.32327321,Santa Lucia,8675
54810,-72.73591863,8.639548853,Tibú,54810
52560,-77.57279178,0.806340417,Potosí,52560
15835,-73.49184702,5.323252768,Turmequé,15835
54498,-73.3558144,8.247453792,Ocaña,54498
